[dfdjkdkjldfakjdfasjkòldfasòkjldfaòkljadfsòkljadfskjlòdfas,  1622114191952500] d


[sdahjkasdhjkasdjhksdajkhjasdjhklaJKHLHJKALDJHKLADS,  1622114294184837] hi


[d,  1622114404487512] d


[d,  1622114404906278] d


[d,  1622114405316237] d


[d,  1622114405731123] d


[d,  1622114406171295] d


[d,  1622114406553394] d


[d,  1622114406953531] d


[d,  1622114407315352] d


[d,  Thu May 27 13:20:53 2021] [31m-- Left the chat
[0m
[dfd,  1622114462748261] d


[dfd,  1622114463316877] d


[dfd,  1622114463810426] d


[dfd,  1622114464271685] d


[dfd,  1622114464672248] d


[dfd,  1622114465028623] d


[dfd,  1622114465840573] f


[dfd,  1622114465981044] f


[dfd,  1622114466096858] f


[dfd,  1622114466305876] f


[dfd,  Thu May 27 13:21:17 2021] [31m-- Left the chat
[0m
[dsdsdsdsdsdsd,  1622114496327479] d


[dsdsdsdsdsdsd,  1622114498128541] d


[dsdsdsdsdsdsd,  1622114500125136] d


[dsdsdsdsdsdsd,  Thu May 27 13:21:48 2021] [31m-- Left the chat
[0m
[d,  1622114515763206] s


[d,  1622114516344498] ds


[d,  1622114516777451] s


[d,  1622114517181776] s


[d,  1622114517542101] s


[d,  Thu May 27 13:21:59 2021] [31m-- Left the chat
[0m
[dfhjkldfdf,  1622114528644068] hello


[daf,  1622114602873979] d


[daf,  1622114603082550] d


[daf,  1622114603244631] d


[daf,  1622114603364322] d


[daf,  1622114603510400] d


[daf,  1622114603724819] d


[daf,  1622114603856389] d


[daf,  1622114603993633] d


[daf,  1622114604123881] d


[daf,  1622114604313408] sdf


[daf,  1622114604478550] sad


[daf,  1622114604623813] +fasd


[daf,  1622114605089246] flmòàsdfljòsdafùè


[daf,  1622114605264963] asdf


[daf,  1622114605394795] afds


[daf,  1622114605533287] asdg


[daf,  1622114605673518] +ga


[daf,  1622114605830895] +gf+


[daf,  1622114605939401] pfdg


[daf,  1622114606069491] +dfg


[daf,  1622114606177253] +


[daf,  1622114606318057] +dfgs


[daf,  1622114606431139] dfg


[daf,  1622114606712577] fdgdfg


[daf,  1622114606835570] f


[daf,  1622114607100432] fg


[daf,  1622114607339024] fdgfgd


[daf,  1622114607638918] dfs


[daf,  1622114607955520] gdfg


[daf,  1622114608251921] dfgdfg


[daf,  1622114608562837] dfgdfg


[daf,  1622114608767092] dfg


[daf,  1622114609021443] fdg


[daf,  Thu May 27 13:23:29 2021] [31m-- Left the chat
[0m
[dfdfdfdfs,  1622114621051385] d


[dfdfdfdfs,  1622114621312532] d


[dfdfdfdfs,  1622114621599167] d


[dfsfsd,  1622114907176498] d


[dfsfsd,  1622114908768289] d


[dfsfsd,  1622114910752296] f


[dfsfsd,  1622114912239518] s


[dfsfsd,  1622114913877167] d


[dfsfsd,  1622114914347836] f


[dfsfsd,  1622114914758269] d


[dfsfsd,  1622114915100977] s


